세부 페이지,에픽,우선 순위,기능,상세 설명,비고,화면
회원가입,회원 가입,상,회원가입,"이메일, 비밀번호, 닉네임을 받아 사용자 등록 수행","- 이메일, 비밀번호, 닉네임 중복 확인 및 규칙 확인 필요",회원가입 페이지
,회원 가입,상,이메일 중복 확인,이미 가입한 이메일인지 확인,,회원가입 페이지
,회원 가입,상,이메일 규칙 확인,이메일 규칙 일치 확인,,회원가입 페이지
,회원 가입,상,비밀번호 규칙 확인,"비밀번호 규칙 일치 확인
","- 영문, 숫자, 특수기호 조합 8자 이상",회원가입 페이지
,회원 가입,상,닉네임 중복 확인,이미 존재하는 닉네임인지 확인,,회원가입 페이지
,회원 가입,상,닉네임 규칙 확인,닉네임 규칙 일치 확인,"- 2자 이상 8자 이하
- 특수 문자 불가
- 한글 초성, 모음 불가",회원가입 페이지
상단 네비바,메인 페이지,상,로고,메인 페이지로 이동,,공통
,메인 페이지,상,리그,리그 페이지로 이동,,공통
,메인 페이지,상,스팟,스팟 페이지로 이동,,공통
,메인 페이지,상,로그인,사용자 로그인 페이지로 이동,- 로그인 시 로그아웃 기능으로 전환,공통
,메인 페이지,상,회원가입,사용자 회원가입 페이지로 이동,- 로그인 시 로그아웃 기능으로 전환,공통
,로그아웃,상,로그아웃,사용자 로그아웃,- 로그아웃 시 로그인 기능으로 전환,공통
,메인 페이지,상,마이페이지,사용자 마이페이지로 이동,,공통
,알림,중,알림,사용자와 작성한 게시글 관련 변경사항 알림,"- 작성한 게시글에 댓글
- 작성한 댓글에 대댓글",공통
푸터,메인 페이지,중,개인 정보 처리 방침,사용자 관련 법 관련 정보 저장 페이지로 이동,,공통
,메인 페이지,하,FAQ,자주 묻는 질문 페이지로 이동,,공통
,메인 페이지,하,팀 정보 조회,개발자 팀 관련 정보 조회,,공통
내 차 정보,메인 페이지,상,사용자 차량 정보 조회,내가 등록한 차량의 정보를 조회,"- 차량 미등록시 
“등록된 차량이 없습니다.” 문구
- 차량 번호, 모델, 브랜드",메인 페이지
Hot 게시글,메인 페이지,상,전체 게시글 중 Top 좋아요 게시글 조회,모든 스팟에서 좋아요가 가장 높은 게시글 상위 10개 노출,- 노출할 게시글은 1주일 단위로 집계,메인 페이지
내가 팔로우한 스팟 전체 게시글,메인 페이지,상,팔로우한 게시글 중 Top 좋아요 게시글 조회,팔로우한 스팟에서 좋아요가 가장 높은 게시글 상위 10개 노출,"- 로그인 상태에서만 노출
- 노출할 게시글은 1주일 단위로 집계",메인 페이지
사용자 리그 리스트,메인 페이지,상,브랜드 리그 조회,사용자가 참여한 브랜드 리그 조회,"- 현대, 기아 등등",메인 페이지
,메인 페이지,상,모델 리그 조회,사용자가 참여한 모델 리그조회,"- G70, G80 등등",메인 페이지
실시간 랭킹(aside),메인 페이지,상,인기 리그,가장 사용자가 많은 리그 노출,"- 인기 리그
- 내 차 자랑 채널 1위 게시글
- 오늘의 차 상식",메인 페이지
,메인 페이지,상,"차 자랑 게시글 조회  ",차 자랑 스팟에서 좋아요가 가장 높은 게시글 1개 노출,- 현재 날짜가 속한 주에 작성된 게시글 기준,메인 페이지
,메인 페이지,하,오늘의 차 상식,오차식,- 전 분야 차 상식 및 사용자 차량 관련 상식 문제,메인 페이지
블랙박스 스팟,메인 페이지,상,블랙박스 스팟 게시글 조회,블랙박스 스팟에 작성된 게시글 최신순 조회,- 노출할 게시글은 1주일 단위로 집계,메인 페이지
,메인 페이지,중,블랙박스 스팟 게시글 투표 현황 조회,블랙박스 스팟 게시글 조회를 통해 노출된 게시글 투표 현황 조회,"- 게시글 제목
- 투표 현황 (우선순위 ↓)",메인 페이지
내 차 자랑 스팟,메인 페이지,중,내 차 자랑 스팟 게스글 조회,내 차랑 스팟에 작성된 게시글 최신순 조회,- 이미지 노출,메인 페이지
리그 리스트,리그,상,리그 리스트 조회,내가 참가된 리그 리스트 목록 제공,,리그 페이지
리그 별 게시글,리그,상,게시글 조회,리그에 작성된 게시글 목록 제공,,리그 페이지
검색,리그,상,검색,검색창에 입력한 문자를 포함한 게시글 정보 제공,,리그 페이지
게시글 상세,리그,상,게시글 상세 정보 조회,"선택한 게시글의 제목, 본문, 작성자, 태그, 댓글 등의 상세 정보 제공",,리그 페이지
,리그,상,댓글 작성,상세 게시물에 댓글 작성,,리그 페이지
,리그,상,댓글의 대댓글 작성,댓글에 대댓글 작성,,리그 페이지
게시글 작성,리그,상,리그 내 게시글 작성,"제목, 본문 등등",,리그 페이지
내가 생성한 스팟,스팟,상,생성한 스팟 목록 조회,내가 생성한 스팟 목록 조회,,스팟 페이지
내가 팔로우한 스팟,스팟,상,팔로우한 스팟 목록 조회,내가 팔로우한 스팟 목록 조회,,스팟 페이지
전체 스팟,스팟,상,기본 제공 + 생성된 스팟 목록 조회,"기본 스팟(블랙박스, 내차자랑, 전기차 등등) + 사용자가 생성한 스팟 목록 조회",,스팟 페이지
스팟 상세,스팟,상,각 스팟별 커스텀 레이아웃 조회,"게시물, 투표, 사진, 영상 등 스팟 별 설정한 레이아웃으로 조회",,스팟 페이지
스팟 생성,스팟,상,사용자 커스텀 스팟 생성,사용자 정의 컴포넌트에 맞춰 스팟 생성,,스팟 페이지
"게시글 상세 ",스팟,상,스팟 게시글 상세 정보 조회,"제목, 본문, 태그, 댓글, 작성자, 좋아요, 작성일자, 조회수, 댓글수, 대댓글 등등","블랙박스(투표), 차자랑(갤러리)",스팟 페이지
,스팟,상,스팟 게시글 댓글 작성,조회중인 게시글에 대한 댓글 작성,,스팟 페이지
,스팟,상,스팟 게시글 대댓글 작성,조회중인 게시글에 대한 댓글에 대댓글을 작성,,스팟 페이지
게시글 작성,스팟,상,스팟 내 게시글 작성,"제목, 본문, 태그 등등",,스팟 페이지
로그인,로그인,상,로그인,"이메일, 비밀번호",,로그인 페이지
비밀번호 변경,로그인,상,이메일 인증,본인 이메일 확인,,로그인 페이지
,로그인,상,임시 비밀번호 제공,임시 비밀번호 전송,- 임시 비밀번호 랜덤 생성,로그인 페이지
,로그인,상,비밀번호 변경,임시 비밀번호로 로그인 한 사용자의 비밀번호 변경,-  임시 비밀번호로 로그인 한 사용자에 대하여 수행,로그인 페이지
자동 로그인,로그인,중,로그인 정보 저장,자동으로 저장한 아이디로 로그인,"- 영구 저장
- 로그아웃 시 해제",로그인 페이지
자동차 등록,회원 가입,상,자동차 등록 필증 제출,사용자가 자동차 등록 필증 업로드,,자동차 인증 페이지
,회원 가입,상,운전 면허증 제출,사용자가 운전면허증 업로드,,자동차 인증 페이지
,회원 가입,상,자동차 등록 필증 검증,사용자가 제출한 자동차 등록 필증과 운전 면허증의 이름 일치 여부를 확인,- OCR을 이용하여 자동차 등록증과 운전 면허증에서 텍스트 추출,자동차 인증 페이지
,회원 가입,상,자동차 정보 및 권한 등록,검증을 마친 자동차 정보를 사용자 정보 및 권한 추가,"- 브랜드, 모델",자동차 인증 페이지
유저 정보,유저,상,유저 정보 조회,"이메일, 닉네임, 프로필 사진 조회",,마이페이지
,유저,상,내 차 정보 조회,"차량 번호, 브랜드, 모델",,마이페이지
,유저,중,닉네임 변경,사용자 닉네임 변경,,마이페이지
,유저,상,닉네임 중복 조회,중복된 닉네임이 존재하는지 확인,,마이페이지
,유저,중,비밀번호변경,사용자 비밀번호 변경,,마이페이지
,유저,중,비밀번호 규칙 확인,비밀번호 규칙 일치 확인,"- 영문, 숫자, 특수기호 조합 8자 이상",마이페이지
,유저,중,프로필 사진 변경,사용자 프로필 사진 변경,,마이페이지
,유저,중,회원 탈퇴,회원 탈퇴,- 사용자 정보는 유지하고 알수없음으로 표시,마이페이지
게시물 조회,유저,중,좋아요 게시글 조회,사용자가 좋아요를 누른 게시글 조회,"- 리그, 스팟 구분",마이페이지
,유저,중,내가 작성한 게시글 조회,사용자가 작성한 게시글 조회,"- 리그, 스팟 구분",마이페이지